scenario,head,candidate_rank,attention_mean,ci95,n
id,1,1,0.03128548,0.0005644525,1600
id,1,2,0.0328195,0.0006608029,1600
id,1,3,0.031534225,0.00069358293,1600
id,1,4,0.035247702,0.00070634607,1600
id,1,5,0.03436586,0.0011449875,1600
id,1,6,0.03302327,0.00060846173,1600
id,1,7,0.03335334,0.00056130294,1600
id,1,8,0.033516522,0.0007253693,1600
id,1,9,0.033110008,0.00064659346,1600
id,1,10,0.034056857,0.00067391753,1600
id,1,11,0.034008455,0.0006216503,1600
id,1,12,0.032199197,0.00064964517,1600
id,1,13,0.032898605,0.0006407999,1600
id,1,14,0.033314,0.0007027681,1600
id,1,15,0.033756033,0.00071347214,1600
id,1,16,0.031778716,0.0006375538,1600
id,1,17,0.038178697,0.0012196838,1600
id,1,18,0.032253876,0.00066921324,1600
id,1,19,0.035305064,0.0012415263,1600
id,1,20,0.033885937,0.0005744454,1600
id,1,21,0.031717636,0.00062134804,1600
id,1,22,0.033504955,0.0010287927,1600
id,1,23,0.03300809,0.0005646562,1600
id,1,24,0.032155447,0.0006549434,1600
id,1,25,0.031644337,0.000614092,1600
id,1,26,0.03415007,0.0007659338,1600
id,1,27,0.035006087,0.0006589311,1600
id,1,28,0.032518208,0.0005987845,1600
id,1,29,0.032887578,0.00061066763,1600
id,1,30,0.033516116,0.0006773931,1600
id,2,1,0.031002745,0.00050503056,1600
id,2,2,0.033143926,0.00060576975,1600
id,2,3,0.031453725,0.0006006586,1600
id,2,4,0.035532985,0.0006073784,1600
id,2,5,0.033747576,0.0010526392,1600
id,2,6,0.03297246,0.000554057,1600
id,2,7,0.03347736,0.00050818117,1600
id,2,8,0.033882003,0.0006457226,1600
id,2,9,0.03267807,0.0005098273,1600
id,2,10,0.034306824,0.00060437236,1600
id,2,11,0.034542277,0.00060536986,1600
id,2,12,0.031962376,0.00056433433,1600
id,2,13,0.033071857,0.0006098007,1600
id,2,14,0.03316958,0.0006129433,1600
id,2,15,0.034121048,0.00063900073,1600
id,2,16,0.03212081,0.0006363181,1600
id,2,17,0.038665786,0.0011694541,1600
id,2,18,0.0319514,0.0005801695,1600
id,2,19,0.03531435,0.0011968429,1600
id,2,20,0.034251526,0.000537332,1600
id,2,21,0.031492054,0.0005569739,1600
id,2,22,0.03273641,0.00092230656,1600
id,2,23,0.033333033,0.0004744123,1600
id,2,24,0.031363152,0.0005351732,1600
id,2,25,0.03121203,0.0005162669,1600
id,2,26,0.034266435,0.00070858427,1600
id,2,27,0.03539938,0.00060997246,1600
id,2,28,0.032300875,0.0005343895,1600
id,2,29,0.033183616,0.0005609298,1600
id,2,30,0.033344463,0.0005730759,1600
id,3,1,0.021457382,0.0016631164,1600
id,3,2,0.025910508,0.0016448565,1600
id,3,3,0.03903172,0.0047301804,1600
id,3,4,0.040338486,0.0028163956,1600
id,3,5,0.042607106,0.0057328977,1600
id,3,6,0.02679705,0.0019031235,1600
id,3,7,0.024798322,0.0013703032,1600
id,3,8,0.03394527,0.0022535934,1600
id,3,9,0.023176387,0.0012260856,1600
id,3,10,0.041704632,0.0034670155,1600
id,3,11,0.042463902,0.0039970125,1600
id,3,12,0.026887774,0.0017100673,1600
id,3,13,0.033193994,0.0025678766,1600
id,3,14,0.030516608,0.001976932,1600
id,3,15,0.041071825,0.0035872005,1600
id,3,16,0.03192324,0.0041393973,1600
id,3,17,0.05714933,0.0062277475,1600
id,3,18,0.021969508,0.0012859754,1600
id,3,19,0.047349162,0.0065870755,1600
id,3,20,0.03295816,0.0019709603,1600
id,3,21,0.036874745,0.0042964728,1600
id,3,22,0.030733764,0.0041305497,1600
id,3,23,0.031195566,0.0022541299,1600
id,3,24,0.022023186,0.0012463506,1600
id,3,25,0.021282077,0.0012209394,1600
id,3,26,0.039878882,0.004875784,1600
id,3,27,0.044598185,0.0037645746,1600
id,3,28,0.025719726,0.0015432008,1600
id,3,29,0.03533448,0.0029457198,1600
id,3,30,0.027109046,0.0014983149,1600
id,4,1,0.012390192,0.0017176287,1600
id,4,2,0.016563315,0.0017566148,1600
id,4,3,0.047881242,0.0081930505,1600
id,4,4,0.03717443,0.003689463,1600
id,4,5,0.04761198,0.0077740746,1600
id,4,6,0.02258091,0.0031140677,1600
id,4,7,0.017705346,0.0016867986,1600
id,4,8,0.036051556,0.0044272593,1600
id,4,9,0.016715681,0.0018030845,1600
id,4,10,0.045713067,0.0059015695,1600
id,4,11,0.047646947,0.0063208914,1600
id,4,12,0.028617179,0.0031133315,1600
id,4,13,0.032451868,0.00456972,1600
id,4,14,0.027797837,0.0041109077,1600
id,4,15,0.049108487,0.0063699135,1600
id,4,16,0.035831273,0.0066105872,1600
id,4,17,0.065783046,0.008210682,1600
id,4,18,0.014118981,0.0015294099,1600
id,4,19,0.047098685,0.008097618,1600
id,4,20,0.033247292,0.0042604906,1600
id,4,21,0.04230752,0.007675845,1600
id,4,22,0.030953402,0.0055530486,1600
id,4,23,0.038657635,0.0062048,1600
id,4,24,0.015958788,0.0015419752,1600
id,4,25,0.014475744,0.0014957979,1600
id,4,26,0.040745325,0.006536151,1600
id,4,27,0.049097568,0.006854857,1600
id,4,28,0.019707821,0.0023225397,1600
id,4,29,0.04541951,0.0071927505,1600
id,4,30,0.020587072,0.001998003,1600
catalogue_120,1,1,0.047709867,0.0020196578,1600
catalogue_120,1,2,0.033474244,0.0012453187,1600
catalogue_120,1,3,0.02784983,0.00092142227,1600
catalogue_120,1,4,0.025938896,0.0009931189,1600
catalogue_120,1,5,0.02340785,0.0008389411,1600
catalogue_120,1,6,0.021891758,0.0007605889,1600
catalogue_120,1,7,0.021584764,0.0010143637,1600
catalogue_120,1,8,0.020510742,0.00093160785,1600
catalogue_120,1,9,0.020262703,0.0007565906,1600
catalogue_120,1,10,0.020201607,0.0006886196,1600
catalogue_120,1,11,0.022071155,0.0011829698,1600
catalogue_120,1,12,0.023302872,0.0011051955,1600
catalogue_120,1,13,0.02494942,0.0011315077,1600
catalogue_120,1,14,0.02681205,0.0011720128,1600
catalogue_120,1,15,0.029719496,0.0012706601,1600
catalogue_120,1,16,0.034919377,0.0014523548,1600
catalogue_120,1,17,0.03807088,0.0014704576,1600
catalogue_120,1,18,0.041367877,0.001519352,1600
catalogue_120,1,19,0.042313036,0.0012757581,1600
catalogue_120,1,20,0.04374172,0.001283705,1600
catalogue_120,1,21,0.043938473,0.001125873,1600
catalogue_120,1,22,0.04385492,0.0010151293,1600
catalogue_120,1,23,0.04366745,0.000991334,1600
catalogue_120,1,24,0.042794086,0.00096865575,1600
catalogue_120,1,25,0.04194774,0.00087496947,1600
catalogue_120,1,26,0.040490285,0.0008331866,1600
catalogue_120,1,27,0.039598595,0.00080972334,1600
catalogue_120,1,28,0.038598526,0.00076723984,1600
catalogue_120,1,29,0.037896577,0.00076645927,1600
catalogue_120,1,30,0.037113145,0.00074747176,1600
catalogue_120,2,1,0.044548374,0.0015157624,1600
catalogue_120,2,2,0.032704674,0.0010371499,1600
catalogue_120,2,3,0.027697768,0.00087165023,1600
catalogue_120,2,4,0.025189953,0.0008610996,1600
catalogue_120,2,5,0.022794632,0.00076494773,1600
catalogue_120,2,6,0.021048134,0.00070458476,1600
catalogue_120,2,7,0.020788651,0.0010026966,1600
catalogue_120,2,8,0.01965501,0.0009111071,1600
catalogue_120,2,9,0.019197185,0.000744378,1600
catalogue_120,2,10,0.01912448,0.00066189794,1600
catalogue_120,2,11,0.0208013,0.0010183484,1600
catalogue_120,2,12,0.022460673,0.0010857844,1600
catalogue_120,2,13,0.024260705,0.0011409112,1600
catalogue_120,2,14,0.026350677,0.0011996896,1600
catalogue_120,2,15,0.029533897,0.0013243265,1600
catalogue_120,2,16,0.035149753,0.0015570882,1600
catalogue_120,2,17,0.03868307,0.001589048,1600
catalogue_120,2,18,0.043030195,0.0016867106,1600
catalogue_120,2,19,0.043984834,0.0014453055,1600
catalogue_120,2,20,0.045253947,0.0014143301,1600
catalogue_120,2,21,0.045758076,0.0012712739,1600
catalogue_120,2,22,0.044928435,0.0011066853,1600
catalogue_120,2,23,0.0448208,0.0010548814,1600
catalogue_120,2,24,0.04363586,0.001005971,1600
catalogue_120,2,25,0.0427061,0.0009299732,1600
catalogue_120,2,26,0.04124568,0.0008886432,1600
catalogue_120,2,27,0.040261615,0.00087199005,1600
catalogue_120,2,28,0.03878525,0.0008042643,1600
catalogue_120,2,29,0.038132645,0.00080631085,1600
catalogue_120,2,30,0.037467588,0.0008042356,1600
catalogue_120,3,1,0.045968596,0.0043934477,1600
catalogue_120,3,2,0.023246553,0.0021580164,1600
catalogue_120,3,3,0.016441986,0.0016005781,1600
catalogue_120,3,4,0.013435614,0.0018247545,1600
catalogue_120,3,5,0.010270646,0.0019603956,1600
catalogue_120,3,6,0.009563906,0.0025279033,1600
catalogue_120,3,7,0.010416567,0.0032809328,1600
catalogue_120,3,8,0.007602506,0.0025510385,1600
catalogue_120,3,9,0.0071641584,0.0021058456,1600
catalogue_120,3,10,0.008333888,0.0024467944,1600
catalogue_120,3,11,0.01377976,0.0037471435,1600
catalogue_120,3,12,0.021388678,0.004850772,1600
catalogue_120,3,13,0.023933377,0.0046004597,1600
catalogue_120,3,14,0.026089072,0.004236177,1600
catalogue_120,3,15,0.03278612,0.0049640327,1600
catalogue_120,3,16,0.045425206,0.005672315,1600
catalogue_120,3,17,0.05239527,0.0059058038,1600
catalogue_120,3,18,0.06097349,0.0064237416,1600
catalogue_120,3,19,0.056925043,0.0050474224,1600
catalogue_120,3,20,0.05898108,0.0051729763,1600
catalogue_120,3,21,0.059387922,0.004854536,1600
catalogue_120,3,22,0.055523023,0.0041467673,1600
catalogue_120,3,23,0.052735705,0.0036180846,1600
catalogue_120,3,24,0.048474588,0.0033239059,1600
catalogue_120,3,25,0.047475267,0.0032724452,1600
catalogue_120,3,26,0.041465133,0.0026668091,1600
catalogue_120,3,27,0.04088058,0.0027890974,1600
catalogue_120,3,28,0.037223857,0.0023923253,1600
catalogue_120,3,29,0.035588685,0.0022357507,1600
catalogue_120,3,30,0.036123563,0.0025481603,1600
