scenario,head,feature,feature_label,spearman_rho,association_method
id,1,uncertainty,$U$,0.4230555556326216,spearman
id,1,age,Age,0.4445757484291857,spearman
id,1,visibility,Visible,-0.002743747739924659,point_biserial
id,1,quality,Quality,-0.1452897535287925,spearman
id,1,slew,Slew,0.1274228605359639,spearman
id,1,relative_speed,$v_{rel}$,-0.0499711901689956,spearman
id,2,uncertainty,$U$,0.4566189377674359,spearman
id,2,age,Age,0.3503025946283957,spearman
id,2,visibility,Visible,-0.06831570967153079,point_biserial
id,2,quality,Quality,-0.0451737573123064,spearman
id,2,slew,Slew,0.0322943190349398,spearman
id,2,relative_speed,$v_{rel}$,-0.0063862097464404,spearman
id,3,uncertainty,$U$,0.4377379148407644,spearman
id,3,age,Age,0.4537496334994715,spearman
id,3,visibility,Visible,-0.033031047427909105,point_biserial
id,3,quality,Quality,-0.1368944774080616,spearman
id,3,slew,Slew,0.1260768849034558,spearman
id,3,relative_speed,$v_{rel}$,-0.0142587593550183,spearman
id,4,uncertainty,$U$,0.3920565827359406,spearman
id,4,age,Age,0.413391523803855,spearman
id,4,visibility,Visible,-0.036604393847899,point_biserial
id,4,quality,Quality,-0.131339507083315,spearman
id,4,slew,Slew,0.1061309365202759,spearman
id,4,relative_speed,$v_{rel}$,-0.0087966088263318,spearman
catalogue_120,1,uncertainty,$U$,0.7480691916544908,spearman
catalogue_120,1,age,Age,0.5810762132993884,spearman
catalogue_120,1,visibility,Visible,-0.43650183482847676,point_biserial
catalogue_120,1,quality,Quality,-0.0879418899844687,spearman
catalogue_120,1,slew,Slew,0.0267234050513022,spearman
catalogue_120,1,relative_speed,$v_{rel}$,-0.0506787785379933,spearman
catalogue_120,2,uncertainty,$U$,0.7813228009482924,spearman
catalogue_120,2,age,Age,0.5888899964704518,spearman
catalogue_120,2,visibility,Visible,-0.4837813842108306,point_biserial
catalogue_120,2,quality,Quality,-0.0953556139991186,spearman
catalogue_120,2,slew,Slew,0.0590632550759868,spearman
catalogue_120,2,relative_speed,$v_{rel}$,-0.0423402366872054,spearman
catalogue_120,3,uncertainty,$U$,0.7422489638508355,spearman
catalogue_120,3,age,Age,0.5077807182176588,spearman
catalogue_120,3,visibility,Visible,-0.30217923590607093,point_biserial
catalogue_120,3,quality,Quality,-0.1536648703272798,spearman
catalogue_120,3,slew,Slew,0.1083604133342806,spearman
catalogue_120,3,relative_speed,$v_{rel}$,-0.0569071289791908,spearman
catalogue_120,4,uncertainty,$U$,0.73132330837926,spearman
catalogue_120,4,age,Age,0.4524505348272466,spearman
catalogue_120,4,visibility,Visible,-0.24918925631131764,point_biserial
catalogue_120,4,quality,Quality,-0.149353021146482,spearman
catalogue_120,4,slew,Slew,0.096925132223576,spearman
catalogue_120,4,relative_speed,$v_{rel}$,-0.0529287149305484,spearman
inclination_150,1,uncertainty,$U$,0.6140935908704398,spearman
inclination_150,1,age,Age,0.4596957047142701,spearman
inclination_150,1,visibility,Visible,0.04154818029821368,point_biserial
inclination_150,1,quality,Quality,-0.1033853561578795,spearman
inclination_150,1,slew,Slew,0.2419552710759323,spearman
inclination_150,1,relative_speed,$v_{rel}$,-0.0815593365116558,spearman
inclination_150,2,uncertainty,$U$,0.6373939614375841,spearman
inclination_150,2,age,Age,0.4840397480968287,spearman
inclination_150,2,visibility,Visible,0.1609603173184933,point_biserial
inclination_150,2,quality,Quality,-0.0711462857162448,spearman
inclination_150,2,slew,Slew,0.1449509743884641,spearman
inclination_150,2,relative_speed,$v_{rel}$,-0.0707057949910242,spearman
inclination_150,3,uncertainty,$U$,0.6739784223019369,spearman
inclination_150,3,age,Age,0.4456454047935186,spearman
inclination_150,3,visibility,Visible,0.035273518832203615,point_biserial
inclination_150,3,quality,Quality,-0.145989114060203,spearman
inclination_150,3,slew,Slew,0.2004367680604932,spearman
inclination_150,3,relative_speed,$v_{rel}$,-0.0739806799817205,spearman
inclination_150,4,uncertainty,$U$,0.6700095299303402,spearman
inclination_150,4,age,Age,0.3767622494399741,spearman
inclination_150,4,visibility,Visible,0.017647328994058915,point_biserial
inclination_150,4,quality,Quality,-0.1444109963306699,spearman
inclination_150,4,slew,Slew,0.1766879784570332,spearman
inclination_150,4,relative_speed,$v_{rel}$,-0.0655456667048981,spearman
