scenario,head,feature,feature_label,spearman_rho
id,1,uncertainty,$U$,0.42305555563262165
id,1,age,Age,0.4445757484291857
id,1,visibility,Visible,-0.13657990415246601
id,1,quality,Quality,-0.1452897535287925
id,1,slew,Slew,0.12742286053596397
id,1,relative_speed,$v_{rel}$,-0.04997119016899565
id,2,uncertainty,$U$,0.4566189377674359
id,2,age,Age,0.35030259462839575
id,2,visibility,Visible,-0.1646067710853499
id,2,quality,Quality,-0.04517375731230647
id,2,slew,Slew,0.03229431903493989
id,2,relative_speed,$v_{rel}$,-0.006386209746440401
id,3,uncertainty,$U$,0.43773791484076446
id,3,age,Age,0.45374963349947156
id,3,visibility,Visible,-0.12759054179098436
id,3,quality,Quality,-0.1368944774080616
id,3,slew,Slew,0.12607688490345584
id,3,relative_speed,$v_{rel}$,-0.014258759355018366
id,4,uncertainty,$U$,0.39205658273594063
id,4,age,Age,0.413391523803855
id,4,visibility,Visible,-0.12809671996876618
id,4,quality,Quality,-0.131339507083315
id,4,slew,Slew,0.10613093652027594
id,4,relative_speed,$v_{rel}$,-0.008796608826331842
catalogue_120,1,uncertainty,$U$,0.7480691916544908
catalogue_120,1,age,Age,0.5810762132993884
catalogue_120,1,visibility,Visible,-0.613307098611765
catalogue_120,1,quality,Quality,-0.08794188998446874
catalogue_120,1,slew,Slew,0.026723405051302277
catalogue_120,1,relative_speed,$v_{rel}$,-0.05067877853799336
catalogue_120,2,uncertainty,$U$,0.7813228009482924
catalogue_120,2,age,Age,0.5888899964704518
catalogue_120,2,visibility,Visible,-0.6257173730113859
catalogue_120,2,quality,Quality,-0.09535561399911865
catalogue_120,2,slew,Slew,0.05906325507598687
catalogue_120,2,relative_speed,$v_{rel}$,-0.04234023668720543
catalogue_120,3,uncertainty,$U$,0.7422489638508355
catalogue_120,3,age,Age,0.5077807182176588
catalogue_120,3,visibility,Visible,-0.5863108382606618
catalogue_120,3,quality,Quality,-0.1536648703272798
catalogue_120,3,slew,Slew,0.10836041333428063
catalogue_120,3,relative_speed,$v_{rel}$,-0.05690712897919086
catalogue_120,4,uncertainty,$U$,0.73132330837926
catalogue_120,4,age,Age,0.4524505348272466
catalogue_120,4,visibility,Visible,-0.5665991317672167
catalogue_120,4,quality,Quality,-0.14935302114648205
catalogue_120,4,slew,Slew,0.096925132223576
catalogue_120,4,relative_speed,$v_{rel}$,-0.05292871493054847
inclination_150,1,uncertainty,$U$,0.6140935908704398
inclination_150,1,age,Age,0.4596957047142701
inclination_150,1,visibility,Visible,-0.025360151582157726
inclination_150,1,quality,Quality,-0.10338535615787957
inclination_150,1,slew,Slew,0.24195527107593232
inclination_150,1,relative_speed,$v_{rel}$,-0.08155933651165587
inclination_150,2,uncertainty,$U$,0.6373939614375841
inclination_150,2,age,Age,0.48403974809682876
inclination_150,2,visibility,Visible,0.12979564256388182
inclination_150,2,quality,Quality,-0.07114628571624487
inclination_150,2,slew,Slew,0.14495097438846413
inclination_150,2,relative_speed,$v_{rel}$,-0.07070579499102429
inclination_150,3,uncertainty,$U$,0.6739784223019369
inclination_150,3,age,Age,0.44564540479351866
inclination_150,3,visibility,Visible,0.04215134654479335
inclination_150,3,quality,Quality,-0.14598911406020307
inclination_150,3,slew,Slew,0.2004367680604932
inclination_150,3,relative_speed,$v_{rel}$,-0.07398067998172055
inclination_150,4,uncertainty,$U$,0.6700095299303402
inclination_150,4,age,Age,0.37676224943997416
inclination_150,4,visibility,Visible,0.019645162169981085
inclination_150,4,quality,Quality,-0.14441099633066995
inclination_150,4,slew,Slew,0.17668797845703327
inclination_150,4,relative_speed,$v_{rel}$,-0.06554566670489814
