scenario,feature,feature_label,association_method,mean_association,head_std,n_heads
catalogue_120,age,Age,spearman,0.5325493657036864,0.06470041272107695,4
catalogue_120,quality,Quality,spearman,-0.12157884886433727,0.034737206128113096,4
catalogue_120,relative_speed,$v_{rel}$,spearman,-0.05071371478373447,0.006147654322888372,4
catalogue_120,slew,Slew,spearman,0.07276805142128641,0.03723041624638358,4
catalogue_120,uncertainty,$U$,spearman,0.7507410662082197,0.02153715034458253,4
catalogue_120,visibility,Visible,point_biserial,-0.36791292781417395,0.11037234825829059,4
id,age,Age,spearman,0.415504875090227,0.046774568779605646,4
id,quality,Quality,spearman,-0.11467437383311888,0.04668724608074198,4
id,relative_speed,$v_{rel}$,spearman,-0.019853192024196525,0.020346982846119074,4
id,slew,Slew,spearman,0.09798125024865885,0.04486038869487949,4
id,uncertainty,$U$,spearman,0.4273672477441906,0.0272558608830823,4
id,visibility,Visible,point_biserial,-0.03517372467181585,0.026812512337757985,4
inclination_150,age,Age,spearman,0.44153577676114786,0.046003150061556496,4
inclination_150,quality,Quality,spearman,-0.1162329380662493,0.035950426786333915,4
inclination_150,relative_speed,$v_{rel}$,spearman,-0.07294786954732466,0.006709286248864365,4
inclination_150,slew,Slew,spearman,0.1910077479954807,0.040869053990119,4
inclination_150,uncertainty,$U$,spearman,0.6488688761350753,0.028392549986152427,4
inclination_150,visibility,Visible,point_biserial,0.06385733636074235,0.06552120969690488,4
