representation,scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion,audit_priority
encoder,catalogue_120,2,5.111111111111111,1.5924087,10.62863,11.115319,2.4872255,7.158582,0.5666666666666667,0.23237842,0.10410617528003978,0.2,1.0,0.8,catalogue_120,id,True,False,True,1.0
recurrent,catalogue_120,5,5.388888888888889,1.0044422,16.092083,7.475778,10.891065,5.597581,0.6666666666666666,0.320144,0.14713599319181206,0.7333333333333333,0.7333333333333333,0.0,id,id,True,False,False,1.0
recurrent,catalogue_120,4,5.0,0.9193561,11.314111,11.159234,4.4502153,6.67706,0.7333333333333333,0.24874514,0.19956271046265903,0.6666666666666666,0.6666666666666666,0.0,id,id,True,False,False,0.9967105263157895
recurrent,catalogue_120,4,3.6666666666666665,2.780914,5.280017,10.804998,0.56977946,9.370152,0.43333333333333335,0.021930646,0.23108820881228664,0.0,0.7333333333333333,0.7333333333333333,catalogue_120,id,False,False,True,0.9950657894736842
encoder,catalogue_120,5,5.166666666666667,1.2199857,8.215494,9.949565,1.9030445,7.65594,0.6,0.076564774,0.2302809578998657,0.0,0.7333333333333333,0.7333333333333333,catalogue_120,id,False,False,True,0.9950657894736842
encoder,id,5,2.7777777777777777,1.628142,8.482205,9.737848,2.8071866,-7.4019384,0.16666666666666666,0.24551544,0.07806863092149267,0.6,0.13333333333333333,-0.4666666666666667,catalogue_120,id,True,False,False,0.993421052631579
encoder,id,2,2.75,2.4122348,0.32607624,-2.8102255,-1.7231275,-4.507587,0.23333333333333334,0.23586282,0.1391590404912339,0.8666666666666667,1.0,0.1333333333333333,inclination_150,inclination_150,True,False,False,0.9901315789473685
recurrent,catalogue_120,5,4.75,2.4254127,7.052507,10.044911,2.3752015,9.193072,0.4666666666666667,0.0050884606,0.10255395072088858,0.26666666666666666,0.9333333333333333,0.6666666666666667,catalogue_120,id,False,False,True,0.9868421052631579
encoder,catalogue_120,6,3.9166666666666665,2.8638198,4.29541,13.09407,-2.8547695,8.974577,0.8666666666666667,0.23435006,0.119932379033704,0.13333333333333333,0.13333333333333333,0.0,catalogue_120,catalogue_120,True,False,False,0.9868421052631579
encoder,id,6,2.2222222222222223,4.0554338,4.513229,9.779619,1.9963253,11.060998,0.13333333333333333,0.01231399,0.1118301194003657,0.2,0.8666666666666667,0.6666666666666667,id,catalogue_120,False,False,True,0.9868421052631579
