representation,scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion
encoder,id,0,0.0,7.886647,2.1216955,8.533327,19.790565,2.69813,0.2,0.0036288619,0.054701327151176114,0.0,0.0,0.0,id,id,False,False,False
encoder,id,1,0.0,7.9439106,2.1513836,8.506246,19.779688,2.7089913,0.13333333333333333,0.00489254,0.07883942769579867,0.0,0.0,0.0,id,id,False,False,False
encoder,id,2,0.0,7.5995965,2.0867245,8.534121,19.78473,2.7039602,0.1,0.006068973,0.06373741824563982,0.0,0.0,0.0,id,id,False,False,False
encoder,id,3,0.0,8.159009,2.1205745,8.54198,19.787012,2.7017083,0.13333333333333333,0.00376966,0.052650589091113184,0.06666666666666667,0.0,-0.06666666666666667,id,id,False,False,False
encoder,id,0,0.0277777777777777,7.679924,2.1114159,8.621842,0.80634475,11.55553,0.2,0.00884527,0.09166201618135904,0.13333333333333333,0.0,-0.13333333333333333,id,id,False,False,False
encoder,id,1,0.0277777777777777,7.6848373,3.622457,12.313731,-1.5926815,9.285793,0.16666666666666666,0.07037406,0.1949135555170636,0.5333333333333333,0.5333333333333333,0.0,catalogue_120,catalogue_120,False,False,False
encoder,id,2,0.0277777777777777,7.3920183,2.1286395,8.596379,0.908872,11.6648,0.06666666666666667,0.0074780704,0.07336150299665457,0.0,0.0,0.0,id,id,False,False,False
encoder,id,3,0.0277777777777777,7.580846,2.1036568,8.537535,0.7369728,11.70049,0.16666666666666666,0.004581014,0.0554149555284187,0.06666666666666667,0.0,-0.06666666666666667,id,id,False,False,False
encoder,id,0,0.0555555555555555,7.556181,2.5136197,9.070409,1.5946106,11.776076,0.23333333333333334,0.016301723,0.2615017768160786,0.13333333333333333,0.3333333333333333,0.19999999999999998,id,id,False,False,False
encoder,id,1,0.0555555555555555,7.275131,3.7988083,12.322236,-1.8125576,9.293972,0.16666666666666666,0.0463132,0.0945978028649657,0.6666666666666666,0.6,-0.06666666666666665,catalogue_120,catalogue_120,False,False,False
encoder,id,2,0.0555555555555555,7.5044537,2.0503118,8.562006,0.6289255,11.622296,0.1,0.0065560183,0.08682038172986949,0.06666666666666667,0.0,-0.06666666666666667,id,id,False,False,False
encoder,id,3,0.0555555555555555,7.7039504,2.2228832,8.924243,1.2921377,11.802156,0.13333333333333333,0.008769465,0.19886784120267012,0.0,0.0,0.0,id,id,False,False,False
