scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2
id,0,0.0,7.886647,2.1216955,8.533327,19.790565,2.69813
id,1,0.0,7.9439106,2.1513836,8.506246,19.779688,2.7089913
id,2,0.0,7.5995965,2.0867245,8.534121,19.78473,2.7039602
id,3,0.0,8.159009,2.1205745,8.54198,19.787012,2.7017083
id,0,0.027777777777777776,7.679924,2.1114159,8.621842,0.80634475,11.55553
id,1,0.027777777777777776,7.6848373,3.622457,12.313731,-1.5926815,9.285793
id,2,0.027777777777777776,7.3920183,2.1286395,8.596379,0.908872,11.6648
id,3,0.027777777777777776,7.580846,2.1036568,8.537535,0.7369728,11.70049
id,0,0.05555555555555555,7.556181,2.5136197,9.070409,1.5946106,11.776076
id,1,0.05555555555555555,7.275131,3.7988083,12.322236,-1.8125576,9.293972
id,2,0.05555555555555555,7.5044537,2.0503118,8.562006,0.6289255,11.622296
id,3,0.05555555555555555,7.7039504,2.2228832,8.924243,1.2921377,11.802156
id,0,0.08333333333333333,7.6678553,2.0097961,9.121518,1.2297782,11.245253
id,1,0.08333333333333333,7.412353,1.8718491,9.231838,0.24703923,10.623596
id,2,0.08333333333333333,7.4085703,2.070606,8.549839,0.7009997,11.682668
id,3,0.08333333333333333,7.8110933,2.254089,9.049181,1.438201,11.820813
id,0,0.1111111111111111,7.472648,2.1202006,9.089538,1.1527709,11.528091
id,1,0.1111111111111111,7.526144,1.9166555,8.673852,0.6772012,11.675629
id,2,0.1111111111111111,7.4971485,1.8604447,8.919334,0.79726255,11.6596575
id,3,0.1111111111111111,7.904425,2.177255,9.121329,1.5111705,11.678248
id,0,0.1388888888888889,7.2378798,2.073843,9.065773,1.2315857,11.609204
id,1,0.1388888888888889,7.605355,1.8905431,8.8499155,0.71130234,11.645535
id,2,0.1388888888888889,7.5460486,1.6507578,9.218426,0.80251217,11.45998
id,3,0.1388888888888889,7.9552565,2.1461978,9.104035,1.4408765,11.750972
id,0,0.16666666666666666,7.2730055,2.1007817,9.0954075,1.2667263,11.548868
id,1,0.16666666666666666,7.594096,1.9802371,9.137256,1.3103918,11.638435
id,2,0.16666666666666666,7.565225,1.5846834,9.323856,0.6668979,11.292828
id,3,0.16666666666666666,7.7301908,1.847582,9.235823,1.3224816,11.259511
id,0,0.19444444444444445,6.7591953,2.091806,8.944863,1.1805155,11.731751
id,1,0.19444444444444445,7.535913,1.7224308,9.279672,1.1079396,11.229402
id,2,0.19444444444444445,7.5899444,1.7248541,9.22797,0.9717067,11.33951
id,3,0.19444444444444445,7.744185,1.8959647,9.210184,1.3645674,11.296452
id,0,0.2222222222222222,6.6016784,1.8969326,8.831657,0.8363877,11.6196165
id,1,0.2222222222222222,7.647504,1.896733,8.863899,0.849469,11.683703
id,2,0.2222222222222222,7.416494,1.8551738,9.14608,1.2005038,11.556298
