scenario,scenario_label,method,method_label,episode_id,rso_id,u_total_km
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,0,1.320543885231018
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,1,0.7142142057418823
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,2,2.198843479156494
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,3,74.13540649414062
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,4,0.5293360352516174
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,5,93.09590148925781
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,6,1.1140403747558594
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,7,0.7337900996208191
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,8,36.457725524902344
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,9,0.6230280995368958
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,10,6.489453315734863
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,11,53.103973388671875
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,12,1.6307283639907837
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,13,1.121069073677063
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,14,99.14776611328125
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,15,0.36615490913391113
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,16,58.81538772583008
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,17,2.0875706672668457
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,18,105.87410736083984
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,19,0.7487342357635498
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,20,100.72220611572266
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,21,0.8952723741531372
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,22,108.41693115234375
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,23,2.579402446746826
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,24,6.413442611694336
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,25,16.462356567382812
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,26,118.94010925292969
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,27,108.74395751953125
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,28,98.26815795898438
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,0,29,0.4422571063041687
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,0,109.10488891601562
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,1,9.780409812927246
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,2,1.0323585271835327
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,3,108.56993103027344
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,4,1.0221209526062012
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,5,14.436301231384277
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,6,0.13577717542648315
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,7,0.17693135142326355
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,8,2.988554000854492
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,9,2.6476664543151855
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,10,104.96978759765625
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,11,3.1203835010528564
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,12,2.889470338821411
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,13,3.82051157951355
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,14,2.987593173980713
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,15,98.34951782226562
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,16,12.293821334838867
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,17,4.582918643951416
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,18,1.1949362754821777
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,19,2.996690273284912
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,20,4.295713424682617
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,21,69.48696899414062
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,22,24.1505069732666
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,23,2.404263973236084
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,24,102.58129119873047
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1,25,12.2349853515625
