scenario,scenario_label,method,method_label,step,sim_time_s,mean_u_km,std_u_km,n_episodes
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,50,245.0,7.912669677734375,0.292847477847668,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,100,495.0,7.966025695800782,0.2951314666240605,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,150,745.0,7.860167694091797,0.3519392459857492,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,200,995.0,8.593662567138672,0.38925078342109987,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,250,1245.0,10.802581176757812,0.5853552754217274,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,300,1495.0,13.553108215332031,0.77993225641279,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,350,1745.0,16.38205078125,0.8940280890350703,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,400,1995.0,18.9219677734375,1.2412879348655013,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,450,2245.0,21.421178894042967,1.2568441786506974,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,500,2495.0,23.578910522460937,1.5618836470447688,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,550,2745.0,25.54090393066406,1.7134035704451125,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,600,2995.0,27.120684814453124,1.8463483068185358,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,650,3245.0,28.3257373046875,2.08430675800368,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,700,3495.0,29.413317260742186,2.341601128272224,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,750,3745.0,30.190882568359374,2.550119554753087,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,800,3995.0,30.7004833984375,2.6914808381750652,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,850,4245.0,30.768587646484374,2.9463547695600383,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,900,4495.0,30.573590087890626,3.1099109583533155,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,950,4745.0,29.809489135742187,3.110045789022805,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1000,4995.0,29.112998046875,3.0523500481436296,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1050,5245.0,28.246080932617186,3.0395482154902327,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1100,5495.0,27.08804992675781,3.4087594531187064,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1150,5745.0,26.006875915527345,3.3634354584432975,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1200,5995.0,25.19513397216797,3.515919363161996,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1250,6245.0,24.945789794921875,3.643570860700622,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1300,6495.0,24.9840087890625,3.7584849507378304,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1350,6745.0,25.348815002441405,3.9944040254932354,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1400,6995.0,25.641960754394532,4.257442362142511,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1450,7245.0,26.200410461425783,4.510285061978943,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1500,7495.0,27.230010375976562,4.830408214422343,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1550,7745.0,28.71439880371094,5.169414121258702,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1600,7995.0,30.743411254882812,5.723129159987117,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1650,8245.0,33.24494934082031,6.437321263152947,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1700,8495.0,35.35434814453125,6.999688113161159,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1750,8745.0,37.15710083007812,7.655842750207709,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1800,8995.0,38.25974609375,7.467267944873235,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1850,9245.0,38.93503295898437,7.912155988670247,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1900,9495.0,39.626162719726565,8.017856145644702,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,1950,9745.0,40.048408203125,8.121205869257976,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2000,9995.0,40.24076171875,8.11790210436382,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2050,10245.0,40.109081420898434,8.025449368835378,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2100,10495.0,40.32489562988281,8.153042919383424,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2150,10745.0,40.516023559570314,8.327624806650656,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2200,10995.0,40.5974951171875,8.390861354618906,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2250,11245.0,40.30515930175781,8.499721552640755,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2300,11495.0,40.046700439453126,8.543284022052351,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2350,11745.0,39.92164978027344,8.46550237042631,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2400,11995.0,39.910972900390625,8.400640783998865,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2450,12245.0,39.915759887695316,8.579563477406861,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2500,12495.0,39.564361572265625,8.463471857283581,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2550,12745.0,39.62736755371094,8.281139300050896,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2600,12995.0,39.16507629394531,8.109222786552541,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2650,13245.0,39.35248718261719,8.118705169896232,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2700,13495.0,39.2955126953125,8.100149881717247,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2750,13745.0,39.1821728515625,8.143407427884762,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2800,13995.0,39.09341186523437,8.000165544234207,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2850,14245.0,38.973853759765625,7.690503254007691,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2900,14495.0,38.619144897460934,8.005391672267946,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2950,14745.0,38.5938916015625,7.9074435729471935,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3000,14995.0,38.538290405273436,7.658806765829092,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3050,15245.0,38.5112841796875,7.838187433176199,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3100,15495.0,38.32424072265625,8.075851032980761,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3150,15745.0,38.10007202148437,7.903572931447127,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3200,15995.0,37.74338989257812,8.209662031218572,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3250,16245.0,37.599537963867185,8.170542959158864,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3300,16495.0,37.613726196289065,8.128422600624777,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3350,16745.0,37.71197692871094,7.989007293439154,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3400,16995.0,37.56822082519531,8.079293003450932,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3450,17245.0,37.42345458984375,8.12091890771313,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3500,17495.0,37.06351806640625,8.228612406410152,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3550,17745.0,36.9308251953125,8.310982591924455,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3600,17995.0,36.60702941894531,8.575945570779508,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3650,18245.0,36.277808837890625,8.54043804586245,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3700,18495.0,36.21113037109375,8.621236392487543,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3750,18745.0,35.720245361328125,8.277912596271877,100
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3800,18995.0,35.43913269042969,8.043026575479404,100
