method,num_rso,episode,reset_seed,vector_env_index,step,time_s,mean_U,max_U,p99_U
expected_info_gain_corrected,2000,0,52000,0,0,0.0,20.028945922851562,36.13719177246094,33.010397338867186
expected_info_gain_corrected,2000,1,52000,1,0,0.0,20.18763542175293,35.763946533203125,32.49964469909668
expected_info_gain_corrected,2000,2,52000,2,0,0.0,20.00749969482422,35.562156677246094,33.12375617980957
expected_info_gain_corrected,2000,3,52000,3,0,0.0,20.135934829711914,35.304344177246094,32.46050662994385
expected_info_gain_corrected,2000,4,52000,4,0,0.0,19.98723793029785,35.83381271362305,32.60785800933838
expected_info_gain_corrected,2000,5,52000,5,0,0.0,20.044347763061523,36.02154541015625,32.20685317993164
expected_info_gain_corrected,2000,6,52000,6,0,0.0,19.96528434753418,36.30571746826172,32.823466758728024
expected_info_gain_corrected,2000,7,52000,7,0,0.0,19.822917938232422,36.524757385253906,33.1052124786377
expected_info_gain_corrected,2000,8,52000,8,0,0.0,20.113834381103516,35.886295318603516,32.89122360229492
expected_info_gain_corrected,2000,9,52000,9,0,0.0,20.046812057495117,36.323463439941406,32.46881595611572
expected_info_gain_corrected,2000,10,52000,10,0,0.0,19.865367889404297,36.93464279174805,32.67242351531982
expected_info_gain_corrected,2000,11,52000,11,0,0.0,19.785860061645508,36.30205154418945,32.37019283294678
expected_info_gain_corrected,2000,0,52000,0,50,250.0,19.105201721191406,34.92153549194336,31.52978256225586
expected_info_gain_corrected,2000,1,52000,1,50,250.0,18.912309646606445,33.781864166259766,31.43561429977417
expected_info_gain_corrected,2000,2,52000,2,50,250.0,18.71126937866211,34.767616271972656,31.41225196838379
expected_info_gain_corrected,2000,3,52000,3,50,250.0,18.972599029541016,33.59362030029297,31.09447534561157
expected_info_gain_corrected,2000,4,52000,4,50,250.0,18.914138793945312,33.94776153564453,31.5764249420166
expected_info_gain_corrected,2000,5,52000,5,50,250.0,18.806640625,34.55061340332031,31.03377046585083
expected_info_gain_corrected,2000,6,52000,6,50,250.0,18.96338653564453,33.134315490722656,30.797855224609375
expected_info_gain_corrected,2000,7,52000,7,50,250.0,18.638277053833008,34.48625183105469,31.151797904968262
expected_info_gain_corrected,2000,8,52000,8,50,250.0,19.035850524902344,33.306427001953125,31.251443061828613
expected_info_gain_corrected,2000,9,52000,9,50,250.0,18.903953552246094,34.80308532714844,31.032474193572998
