method,num_rso,n,mean_U_mean,mean_U_ci95,max_U_mean,max_U_ci95,p99_U_mean,p99_U_ci95,fine_custody_mean,fine_custody_ci95,mean_age_mean,mean_age_ci95
drl,2000,48,0.08455753062541282,3.460153051409448e-05,0.12887611178060368,0.001799207646926035,0.10766365141607818,0.0005790141805349702,1.0,0.0,486.912654876709,1.5613058871057535
drl,3000,48,0.0933488869729141,3.595715039010413e-05,0.14395750810702637,0.00481672539866266,0.12099912127635122,0.0004128919052463252,0.9999930555555556,1.361111111110508e-05,700.2809359232584,1.6165430170212813
drl,4000,48,0.15770940762013194,0.004990410197678817,27.908369064331055,0.15104126419249977,0.14022665310030177,0.0003960470926062162,0.9976666666666668,0.0002002189256871339,926.0177930196127,1.6483727097384444
drl,5000,48,0.8182507070402304,0.0201613595443437,29.73119803269704,0.08470996622833629,27.45523421605429,0.053176528901914946,0.9720958333333334,0.0007973517155397803,1197.1770655314128,2.3513987619726087
expected_info_gain,2000,48,5.441091785828273,0.09642999879571737,39.06710203488668,2.9332068557888182,31.110494773785273,0.11503712655161127,0.7883020833333334,0.003513230905735544,1369.9808832804363,8.824265879084624
expected_info_gain,3000,48,15.942862729231516,0.16661410403609933,71.39502851168315,6.648032383690797,34.72342796802519,0.08597642488847049,0.3521180555555556,0.005942239543662015,1829.4935124715169,20.32091843454667
expected_info_gain,4000,48,21.691272854804993,0.08031342178251921,103.98290570576985,2.509464337031127,35.57697684526443,0.04755054283429466,0.10330208333333335,0.0020495033553030216,2584.813563028971,14.327675521689114
expected_info_gain,5000,48,22.75332287947337,0.07942305881966719,111.19946686426799,0.6732278441417154,48.21604284763379,4.114982977669888,0.0334875,0.0007120561339833135,3037.6493784586587,11.57875756071934
lstm,2000,48,12.566862126191458,0.19633628231129274,112.7917669614156,0.47766778855509245,33.536077416737875,0.05745584528365346,0.5090625000000001,0.0064520488148784565,1765.4278818766277,9.812535891086439
lstm,3000,48,21.80716860294342,0.10174519808062195,113.65588649113973,0.2928381233313621,35.29729248046874,0.041077821970928505,0.13295833333333332,0.002633212841753655,2564.5081685384116,12.604603129968675
lstm,4000,48,21.590698917706806,0.05686472359239201,114.34066947301228,0.30763897382427713,32.18956342339506,0.2512061975240642,0.03124479166666667,0.000804873150306077,3415.1820170084634,10.78280106589148
lstm,5000,48,27.73842140038808,0.39521843546961993,123.09609127044678,2.743602433615177,105.81077605088554,1.0536952078338344,0.013583333333333334,0.0007871935547699783,4159.6907297770185,17.56699128837554
max_uncertainty_greedy,2000,48,5.466908733050029,0.0887158863396585,40.233639081319176,3.705150609601646,31.138688419659932,0.09695614556651154,0.7868333333333334,0.0031676884503062035,1371.5507837931316,11.893471250578965
max_uncertainty_greedy,3000,48,15.888007402420044,0.1788029208918351,65.18555339177449,7.50756738118869,34.71043365875878,0.08219113553584603,0.3513888888888889,0.006579141614728792,1844.4152806599934,15.019220415337305
max_uncertainty_greedy,4000,48,21.633193651835125,0.0809414430841673,99.81708367665608,2.126812006080677,35.53779248555501,0.047921313044103034,0.10293229166666666,0.0016090044094654852,2585.9590962727866,14.806759895853093
max_uncertainty_greedy,5000,48,22.76735520362854,0.07130834121992648,110.78669516245525,0.888176606907139,44.51834244966537,3.7333916720596507,0.0331625,0.0006293656676503902,3021.3124796549478,12.215722513891356
random_feasible,2000,48,5.402277797460556,0.08082262664723161,39.88771359125773,3.0953930302295216,31.248630180358887,0.10768264362246263,0.78875,0.0032152640163811527,1372.8678690592449,10.657535332125619
random_feasible,3000,48,15.872601707776388,0.1632637267031065,74.3140291372935,7.188799043529003,34.85079983154932,0.0969209414589357,0.35874999999999996,0.00581123668325513,1832.4211120605469,20.884847608469702
random_feasible,4000,48,21.65661859512329,0.08419274847407107,103.41236623128255,2.1785328024672785,35.58929030100504,0.05406442165535951,0.10316666666666667,0.0013913962874902346,2599.3776041666665,14.692398599524251
random_feasible,5000,48,22.771118839581806,0.08164462593961161,113.23694149653117,1.6922248126855381,50.036177883943175,4.341956410857922,0.0327125,0.0007905671868667168,3026.143625895182,9.499948158325147
