scenario,head,feature,spearman_rho,n_tokens,association_method
id_2000_k60,1,uncertainty,0.049161130803104,213120,spearman
id_2000_k60,1,age,0.1111352494448928,213120,spearman
id_2000_k60,1,visibility,-0.16326694767661848,213120,point_biserial
id_2000_k60,1,quality,-0.1613650274601599,213120,spearman
id_2000_k60,1,slew,0.1049213882026843,213120,spearman
id_2000_k60,1,relative_speed,0.0648864569843282,213120,spearman
id_2000_k60,2,uncertainty,-0.0122405086188329,213120,spearman
id_2000_k60,2,age,-0.0459132817296547,213120,spearman
id_2000_k60,2,visibility,0.04409071225182115,213120,point_biserial
id_2000_k60,2,quality,-0.1799830651470756,213120,spearman
id_2000_k60,2,slew,0.2351845026754904,213120,spearman
id_2000_k60,2,relative_speed,0.0188804839341251,213120,spearman
id_2000_k60,3,uncertainty,-0.0230509405561505,213120,spearman
id_2000_k60,3,age,-0.0376346330049736,213120,spearman
id_2000_k60,3,visibility,-0.13440991915859263,213120,point_biserial
id_2000_k60,3,quality,-0.5092856356542216,213120,spearman
id_2000_k60,3,slew,0.459510661124417,213120,spearman
id_2000_k60,3,relative_speed,-0.0221878184135909,213120,spearman
id_2000_k60,4,uncertainty,0.0493497980158046,213120,spearman
id_2000_k60,4,age,0.1294351450903988,213120,spearman
id_2000_k60,4,visibility,-0.06469173900476469,213120,point_biserial
id_2000_k60,4,quality,-0.3388708190241239,213120,spearman
id_2000_k60,4,slew,0.2950398112865786,213120,spearman
id_2000_k60,4,relative_speed,-0.0172050522231419,213120,spearman
scale_5000_k60,1,uncertainty,0.0040368518763923,213120,spearman
scale_5000_k60,1,age,0.0021033616043397,213120,spearman
scale_5000_k60,1,visibility,-0.14633821272068462,213120,point_biserial
scale_5000_k60,1,quality,-0.1116843617301741,213120,spearman
scale_5000_k60,1,slew,0.0681770350470786,213120,spearman
scale_5000_k60,1,relative_speed,0.0851166547904923,213120,spearman
scale_5000_k60,2,uncertainty,-0.0128291697861309,213120,spearman
scale_5000_k60,2,age,-0.0034972818061065,213120,spearman
scale_5000_k60,2,visibility,0.03230480064352809,213120,point_biserial
scale_5000_k60,2,quality,-0.15879733556646,213120,spearman
scale_5000_k60,2,slew,0.2063350965890757,213120,spearman
scale_5000_k60,2,relative_speed,0.0259004435332883,213120,spearman
scale_5000_k60,3,uncertainty,-0.0234868437344845,213120,spearman
scale_5000_k60,3,age,0.0021210333731682,213120,spearman
scale_5000_k60,3,visibility,-0.1333359591310211,213120,point_biserial
scale_5000_k60,3,quality,-0.5113586153634609,213120,spearman
scale_5000_k60,3,slew,0.4539971486108603,213120,spearman
scale_5000_k60,3,relative_speed,-0.0535789609079329,213120,spearman
scale_5000_k60,4,uncertainty,0.0038984419743632,213120,spearman
scale_5000_k60,4,age,0.0021948838874271,213120,spearman
scale_5000_k60,4,visibility,-0.06783628896129672,213120,point_biserial
