scenario,high_uncertainty,samples,mean_time_h,median_time_h,min_time_h,max_time_h,mean_uncertainty_km,median_uncertainty_km,sensor_count,episode_count,high_uncertainty_fraction
id_2000_k15,False,3360,2.638849206349206,2.638888888888889,0.2777777777777778,4.998611111111111,0.4915251469964286,0.09311992499999999,12,8,0.05405405405405406
id_2000_k15,True,192,0.06944444444444445,0.06944444444444445,0.0,0.1388888888888889,16.0465133125,16.156012500000003,12,8,0.05405405405405406
id_2000_k60,False,3360,2.638849206349206,2.638888888888889,0.2777777777777778,4.998611111111111,0.3144435296071429,0.087372747,12,8,0.05405405405405406
id_2000_k60,True,192,0.06944444444444445,0.06944444444444445,0.0,0.1388888888888889,15.0860434375,15.0811565,12,8,0.05405405405405406
retrograde_2000_k60,False,3384,2.621118991331757,2.638888888888889,0.1388888888888889,4.998611111111111,0.37762080323404257,0.08822791199999999,12,8,0.0472972972972973
retrograde_2000_k60,True,168,0.05952380952380952,0.0,0.0,0.1388888888888889,15.798452285714285,19.78078,12,8,0.0472972972972973
scale_5000_k60,False,2784,3.055507662835249,3.055555555555556,1.1111111111111112,4.998611111111111,1.2721408551293103,0.8824312299999999,12,8,0.21621621621621623
scale_5000_k60,True,768,0.4861111111111111,0.48611111111111116,0.0,0.9722222222222222,16.04355678125,16.025067,12,8,0.21621621621621623
team9_2000_k60,False,2520,2.638849206349206,2.638888888888889,0.2777777777777778,4.998611111111111,0.7649542810357143,0.16920886499999999,9,8,0.05405405405405406
team9_2000_k60,True,144,0.06944444444444445,0.06944444444444445,0.0,0.1388888888888889,16.326216625,16.384,9,8,0.05405405405405406
