scenario,path,head,attention_mass,attention_mass_ci95,uniform_mass,uniform_enrichment,n_samples
id_2000_k60,Summary query,1,0.14473899248735728,6.97799516316991e-05,0.1527777777777778,0.9473824962808839,3552
id_2000_k60,Summary query,2,0.12938094039674145,0.00016187089737257379,0.1527777777777778,0.8468570644150348,3552
id_2000_k60,Summary query,3,0.15154448253110991,5.580113832715354e-05,0.1527777777777778,0.9919275220218102,3552
id_2000_k60,Summary query,4,0.144767170931372,0.00019337144629915338,0.1527777777777778,0.947566937005344,3552
id_2000_k60,RSO-token queries,1,0.15578166157980491,0.00011487684856159453,0.1527777777777778,1.0196617848859957,3552
id_2000_k60,RSO-token queries,2,0.15580461894975858,0.0001012184155772587,0.1527777777777778,1.0198120513075106,3552
id_2000_k60,RSO-token queries,3,0.15305129154627253,4.620465520069471e-05,0.1527777777777778,1.0017902719392384,3552
id_2000_k60,RSO-token queries,4,0.15145282769105858,0.00014206792857852528,0.1527777777777778,0.9913275994323834,3552
scale_5000_k60,Summary query,1,0.14444458269019117,7.078283702361455e-05,0.1527777777777778,0.9454554503357967,3552
scale_5000_k60,Summary query,2,0.12999466840421092,0.00016668461992772185,0.1527777777777778,0.8508741931911987,3552
scale_5000_k60,Summary query,3,0.15272231802747055,7.171093679012197e-05,0.1527777777777778,0.9996369907252617,3552
scale_5000_k60,Summary query,4,0.1439614561805921,0.00020506428499355745,0.1527777777777778,0.9422931677275119,3552
scale_5000_k60,RSO-token queries,1,0.15586178326509423,0.0001247435084251907,0.1527777777777778,1.0201862177351622,3552
scale_5000_k60,RSO-token queries,2,0.15704707036147247,0.00010743437463412357,0.1527777777777778,1.0279444605478198,3552
scale_5000_k60,RSO-token queries,3,0.1526034936342422,7.240799795856119e-05,0.1527777777777778,0.9988592310604942,3552
scale_5000_k60,RSO-token queries,4,0.15165802649734123,0.0001630475601304538,0.1527777777777778,0.9926707188916879,3552
id_2000_k15,Summary query,1,0.39313638165828074,0.00013602693951615024,0.4074074074074074,0.9649711186157801,3552
id_2000_k15,Summary query,2,0.36385330954684064,0.0003296673545994926,0.4074074074074074,0.893094487069518,3552
id_2000_k15,Summary query,3,0.4055305632703879,0.00010965455046510409,0.4074074074074074,0.9953932007545885,3552
id_2000_k15,Summary query,4,0.39294992012248653,0.00036007270245224846,0.4074074074074074,0.9645134403006488,3552
id_2000_k15,RSO-token queries,1,0.41203754933903347,0.00021361316784206715,0.4074074074074074,1.011364893832173,3552
id_2000_k15,RSO-token queries,2,0.41307387670485285,0.00017378210278730608,0.4074074074074074,1.0139086064573661,3552
id_2000_k15,RSO-token queries,3,0.4078328119725123,9.747349809748552e-05,0.4074074074074074,1.0010441748416212,3552
id_2000_k15,RSO-token queries,4,0.4050833971432603,0.0002924342074481738,0.4074074074074074,0.9942956111698208,3552
retrograde_2000_k60,Summary query,1,0.14520983832997378,7.134514065827336e-05,0.1527777777777778,0.9504643963416465,3552
retrograde_2000_k60,Summary query,2,0.12975980060149891,0.00017533218263499797,0.1527777777777778,0.8493368766643564,3552
retrograde_2000_k60,Summary query,3,0.1518474090970247,5.327068202550712e-05,0.1527777777777778,0.9939103140896162,3552
retrograde_2000_k60,Summary query,4,0.14476143144205347,0.00018442684134356528,0.1527777777777778,0.9475293694388954,3552
retrograde_2000_k60,RSO-token queries,1,0.15668907245570743,0.00017040103033139848,0.1527777777777778,1.0256012015282667,3552
retrograde_2000_k60,RSO-token queries,2,0.15518723244082416,0.00010829653365550754,0.1527777777777778,1.0157709759763036,3552
retrograde_2000_k60,RSO-token queries,3,0.152639455283648,5.401703231723467e-05,0.1527777777777778,0.9990946164020595,3552
retrograde_2000_k60,RSO-token queries,4,0.15231833015862214,0.00015407555608730993,0.1527777777777778,0.9969927064927994,3552
team9_2000_k60,Summary query,1,0.10956825019774942,6.682735823037846e-05,0.11594202898550725,0.9450261579555888,2664
team9_2000_k60,Summary query,2,0.09779835512509218,0.0001514047089839051,0.11594202898550725,0.84351081295392,2664
team9_2000_k60,Summary query,3,0.11512177851185337,5.2327171399809536e-05,0.11594202898550725,0.9929253396647353,2664
team9_2000_k60,Summary query,4,0.1096171157311525,0.00017753256681383723,0.11594202898550725,0.9454476231811904,2664
team9_2000_k60,RSO-token queries,1,0.11843335288143284,0.00010912769759766227,0.11594202898550725,1.0214876686023582,2664
team9_2000_k60,RSO-token queries,2,0.11882174786113135,9.59017732480806e-05,0.11594202898550725,1.0248375753022578,2664
team9_2000_k60,RSO-token queries,3,0.11616381904664072,4.410529235003465e-05,0.11594202898550725,1.001912939277276,2664
team9_2000_k60,RSO-token queries,4,0.11482135841326492,0.00013428294136632885,0.11594202898550725,0.9903342163144099,2664
