representation,scenario,samples,latent_outlier_fraction,projection_intrusion_fraction,latent_scenario_mixing,projected_scenario_mixing,median_uncertainty_km
encoder,id_2000_k15,3552,0.018862612612612614,0.21424549549549549,0.21918168168168167,0.40230855855855857,0.09422338499999999
encoder,id_2000_k60,3552,0.006756756756756757,0.19059684684684686,0.5366929429429429,0.6617117117117117,0.088236287
encoder,retrograde_2000_k60,3552,0.01266891891891892,0.09543918918918919,0.15041291291291292,0.2223911411411411,0.089219505
encoder,scale_5000_k60,3552,0.005067567567567568,0.27561936936936937,0.36816816816816816,0.592774024024024,0.90890143
encoder,team9_2000_k60,2664,0.00563063063063063,0.10285285285285285,0.6563063063063063,0.7491241241241241,0.173528425
recurrent,id_2000_k15,3552,0.01126126126126126,0.20664414414414414,0.5149399399399399,0.6499624624624624,0.09422338499999999
recurrent,id_2000_k60,3552,0.003941441441441441,0.1241554054054054,0.6665165165165166,0.739771021021021,0.088236287
recurrent,retrograde_2000_k60,3552,0.014076576576576577,0.21002252252252251,0.498704954954955,0.6457957957957958,0.089219505
recurrent,scale_5000_k60,3552,0.010416666666666666,0.12809684684684686,0.5753003003003003,0.6657094594594595,0.90890143
recurrent,team9_2000_k60,2664,0.010510510510510511,0.06118618618618619,0.7541291291291291,0.8031031031031031,0.173528425
