representation,scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion,audit_priority
encoder,id_2000_k15,6,6,0.5555555555555556,2.642786,15,10.2668495,1.0798728,-0.021863362,0.76812667,0.0,0.30331033,0.10406333399928581,0.26666666666666666,0.5333333333333333,0.26666666666666666,id_2000_k15,id_2000_k15,True,False,False,1.0
encoder,retrograde_2000_k60,0,2,1.25,0.14880405,60,9.419773,5.5224686,-1.6240914,4.7256866,0.0,0.30304518,0.10742948111466273,0.5333333333333333,0.8,0.2666666666666667,retrograde_2000_k60,id_2000_k60,True,False,True,0.9998280309544282
encoder,id_2000_k60,4,0,0.4166666666666667,2.5078647,60,9.086346,5.7431245,-1.7396148,3.1373842,0.0,0.30166802,0.06178405317354849,0.4666666666666667,0.6666666666666666,0.19999999999999996,id_2000_k60,id_2000_k60,True,False,False,0.9996560619088564
encoder,id_2000_k60,3,0,0.4166666666666667,2.526228,60,9.645988,1.3476919,-0.5173217,3.4192073,0.0,0.2931753,0.12379924236917184,0.6,0.7333333333333333,0.1333333333333333,id_2000_k60,id_2000_k15,True,False,False,0.9994840928632847
encoder,id_2000_k15,6,4,4.305555555555555,0.08810796,15,11.451215,15.884356,1.6732131,7.98145,0.06666666666666667,0.08751181,0.08051407958313744,0.0,1.0,1.0,id_2000_k15,retrograde_2000_k60,False,False,True,0.9993981083404987
encoder,retrograde_2000_k60,7,3,4.166666666666667,0.08502168,60,9.707555,7.2330985,-3.1816452,8.290254,0.016666666666666666,0.06034588,0.08101165750614205,0.0,1.0,1.0,retrograde_2000_k60,scale_5000_k60,False,False,True,0.9993981083404987
encoder,id_2000_k15,1,2,1.1111111111111112,0.18072708,15,9.248304,5.730989,-1.7279015,5.2879987,0.06666666666666667,0.15110461,0.09140898722435713,0.0,1.0,1.0,id_2000_k15,id_2000_k60,False,False,True,0.9993981083404987
recurrent,retrograde_2000_k60,0,1,4.305555555555555,0.085057005,60,16.251705,9.069275,0.30870935,1.6578153,0.06666666666666667,0.013646475,0.0996724629847628,0.0,1.0,1.0,retrograde_2000_k60,id_2000_k60,False,False,True,0.9993981083404987
encoder,retrograde_2000_k60,5,2,1.6666666666666667,0.112144135,60,12.556698,7.896751,3.3023646,7.9839516,0.016666666666666666,0.06298707,0.12508273331052708,0.0,1.0,1.0,retrograde_2000_k60,id_2000_k60,False,False,True,0.9993981083404987
encoder,id_2000_k15,2,7,4.444444444444445,0.08783466,15,7.0685005,12.424212,-0.7265304,9.662144,0.0,0.10369196,0.045586850965922264,0.0,1.0,1.0,id_2000_k15,id_2000_k60,False,False,True,0.9993981083404987
