representation,scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion
encoder,id_2000_k60,0,0,0.0,19.93536,60,-3.4980795,10.320969,13.258076,-0.29388803,0.0,0.00013084411,0.009210223733048622,0.6666666666666666,0.8,0.13333333333333341,scale_5000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,0,1,0.0,19.93536,60,6.784112,-4.031187,15.902811,5.2407403,0.0,0.0003017823,0.003671866928977709,0.6,0.6666666666666666,0.06666666666666665,id_2000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,2,0.0,19.93536,60,10.042826,-2.1298523,15.437203,4.1023927,0.0,0.00044343472,0.023687390329804586,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,3,0.0,19.93536,60,9.2735615,-3.4160264,17.125105,4.604964,0.0,0.00039146742,0.018821000082331524,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,4,0.0,19.93536,60,10.315586,-6.3025837,15.535821,6.203222,0.0,0.00015527407,0.011115980840860077,0.6666666666666666,0.8,0.13333333333333341,id_2000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,0,5,0.0,19.93536,60,6.0667186,-2.2188056,15.787102,7.039883,0.0,0.00016841492,0.009594896043718737,0.5333333333333333,0.6666666666666666,0.1333333333333333,id_2000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,6,0.0,19.93536,60,7.9890027,-6.8343735,16.568068,4.5131283,0.0,0.0007659952,0.001336166897376995,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,7,0.0,19.93536,60,9.626091,-2.4638343,16.480972,3.847148,0.0,0.0005940318,0.015425352830414798,0.6666666666666666,0.7333333333333333,0.06666666666666665,scale_5000_k60,id_2000_k15,False,False,False
encoder,id_2000_k60,0,8,0.0,19.93536,60,9.824164,-5.8334517,15.633282,6.0606604,0.0,0.00015313228,0.012295702359921949,0.7333333333333333,0.7333333333333333,0.0,scale_5000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,0,9,0.0,19.93536,60,8.123126,-2.7705843,15.626173,4.995511,0.0,0.00024594466,0.03178248912257057,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,10,0.0,19.93536,60,11.145067,-1.9447223,15.425562,4.390834,0.0,0.00042954684,0.008086008351881084,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,11,0.0,19.93536,60,10.02326,-3.6946301,16.707802,4.236213,0.0,0.0012203415,0.01098951255482094,0.6,0.7333333333333333,0.1333333333333333,id_2000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,1,0,0.0,20.007746,60,-3.5097108,10.309952,13.2555,-0.29586992,0.0,7.867813e-05,0.004315037156004472,0.7333333333333333,0.7333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,1,0.0,20.007746,60,6.7894273,-4.0248194,15.90719,5.2586365,0.0,0.00029501517,0.009453345726627567,0.6,0.5333333333333333,-0.06666666666666665,id_2000_k60,id_2000_k60,False,False,False
encoder,id_2000_k60,1,2,0.0,20.007746,60,10.041833,-2.1246035,15.460061,4.032698,0.0,0.0005792856,0.024716524064879713,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,3,0.0,20.007746,60,9.271475,-3.4184575,17.07818,4.59976,0.0,0.00032376449,0.017066606542717876,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,4,0.0,20.007746,60,10.304413,-6.29279,15.668134,6.004646,0.0,0.00012216171,0.012953361750004163,0.6666666666666666,0.6666666666666666,0.0,id_2000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,5,0.0,20.007746,60,6.079334,-2.2299461,15.788568,7.0387416,0.0,0.00013097921,0.013304058891182684,0.6,0.6666666666666666,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,6,0.0,20.007746,60,7.988503,-6.833978,16.52054,4.4781213,0.0,0.00037868024,0.0010878177083134054,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,7,0.0,20.007746,60,9.609255,-2.4439404,16.550213,3.954662,0.0,0.0006230672,0.009266446016443282,0.6,0.8,0.20000000000000007,id_2000_k60,retrograde_2000_k60,False,False,False
encoder,id_2000_k60,1,8,0.0,20.007746,60,9.813307,-5.8244185,15.674783,5.9900804,0.0,0.00012675524,0.016348448891577966,0.7333333333333333,0.7333333333333333,0.0,scale_5000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,1,9,0.0,20.007746,60,8.14165,-2.748768,15.621376,5.0169044,0.0,0.00027459065,0.012694038999811929,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,10,0.0,20.007746,60,11.147842,-1.9490817,15.429123,4.402334,0.0,0.00048571825,0.008220935502838743,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,11,0.0,20.007746,60,10.020442,-3.7008867,17.149668,4.6297145,0.0,0.00022192796,0.00805585980207289,0.6,0.7333333333333333,0.1333333333333333,scale_5000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,2,0,0.0,20.235445,60,-3.5035543,10.315582,13.258375,-0.29381272,0.0,0.00014869373,0.003931028376174778,0.7333333333333333,0.7333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,1,0.0,20.235445,60,6.782794,-4.031697,15.933229,5.3549943,0.0,0.00043771663,0.0030843826989185026,0.6,0.7333333333333333,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,2,0.0,20.235445,60,10.018927,-2.1418927,15.427213,4.213101,0.0,0.0017860889,0.02999791292459608,0.6,0.5333333333333333,-0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,3,0.0,20.235445,60,9.27849,-3.424082,17.124668,4.6375384,0.0,0.00021024545,0.01711071973566914,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,4,0.0,20.235445,60,10.340316,-6.3282356,15.541184,6.1972027,0.0,0.000103958446,0.027492738833811148,0.6666666666666666,0.8,0.13333333333333341,team9_2000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,2,5,0.0,20.235445,60,6.070792,-2.2131996,15.783681,7.0163383,0.0,0.00029474896,0.010185223498951648,0.6,0.6666666666666666,0.06666666666666665,id_2000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,6,0.0,20.235445,60,7.9881806,-6.833501,16.546562,4.4643593,0.0,0.00044374864,0.0012570223194319017,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,7,0.0,20.235445,60,9.590552,-2.4288087,16.666681,4.0983534,0.0,0.0007517854,0.022851748090137715,0.6666666666666666,0.7333333333333333,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,8,0.0,20.235445,60,9.837631,-5.8486886,15.611858,6.096378,0.0,0.000112199785,0.014308649472894707,0.6666666666666666,0.6666666666666666,0.0,scale_5000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,2,9,0.0,20.235445,60,8.141863,-2.7595506,15.794248,4.9841914,0.0,0.0006637573,0.018216948198499172,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,10,0.0,20.235445,60,11.14867,-1.9424447,15.417675,4.3905993,0.0,0.00074062747,0.007906374989207328,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,11,0.0,20.235445,60,10.027125,-3.704417,17.140491,4.626911,0.0,0.00024630627,0.007179557066837563,0.5333333333333333,0.6666666666666666,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,0,0.0,20.144747,60,-3.509501,10.31113,13.258798,-0.292311,0.0,0.00010506709,0.0036334068808456976,0.5333333333333333,0.7333333333333333,0.19999999999999996,id_2000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,1,0.0,20.144747,60,6.784873,-4.029983,15.931671,5.18697,0.0,0.0003325979,0.004559794617010855,0.5333333333333333,0.6,0.06666666666666665,id_2000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,2,0.0,20.144747,60,10.021871,-2.1249294,15.486681,3.9717405,0.0,0.00070634286,0.02603984163494492,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,3,0.0,20.144747,60,9.280004,-3.4137723,16.74082,4.302301,0.0,0.00063356163,0.022666391035862727,0.5333333333333333,0.5333333333333333,0.0,id_2000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,4,0.0,20.144747,60,10.322502,-6.310931,15.632164,6.0612917,0.0,0.00012459754,0.010043701930933565,0.8,0.7333333333333333,-0.06666666666666676,team9_2000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,3,5,0.0,20.144747,60,6.079821,-2.2138145,15.773451,7.023826,0.0,0.00014177561,0.010408112281499246,0.6,0.6666666666666666,0.06666666666666665,id_2000_k60,retrograde_2000_k60,False,False,False
encoder,id_2000_k60,3,6,0.0,20.144747,60,7.988285,-6.833875,16.510841,4.450546,0.0,0.00035056274,0.0010753560905258205,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,7,0.0,20.144747,60,9.621204,-2.4555993,16.371273,3.7335272,0.0,0.0014991243,0.011881132467455036,0.6666666666666666,0.6666666666666666,0.0,id_2000_k60,id_2000_k60,False,False,False
encoder,id_2000_k60,3,8,0.0,20.144747,60,9.802792,-5.8137426,15.531935,6.2081304,0.0,0.00018268426,0.02711124488170945,0.7333333333333333,0.7333333333333333,0.0,team9_2000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,3,9,0.0,20.144747,60,8.168766,-2.7092795,15.64006,5.002964,0.0,0.0002901276,0.04138650833688519,0.5333333333333333,0.7333333333333333,0.19999999999999996,scale_5000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,3,10,0.0,20.144747,60,11.148183,-1.9500989,15.448159,4.4444737,0.0,0.0007520318,0.008894440621456392,0.5333333333333333,0.5333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,3,11,0.0,20.144747,60,10.023193,-3.700457,17.159857,4.6421514,0.0,0.00025562444,0.007733793310451242,0.5333333333333333,0.6666666666666666,0.1333333333333333,scale_5000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,0,0,0.1388888888888889,10.026361,60,8.768352,-0.97708756,8.610397,5.1554008,0.016666666666666666,0.011504701,0.1008234990621886,0.8666666666666667,0.8666666666666667,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,1,0.1388888888888889,10.026361,60,8.2104435,-0.48916847,8.353778,5.751142,0.016666666666666666,0.026341943,0.061978760353642706,0.6,0.7333333333333333,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,2,0.1388888888888889,10.026361,60,9.192113,-1.5470963,8.315555,4.8414836,0.016666666666666666,0.014184042,0.05973291695015815,1.0,1.0,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,3,0.1388888888888889,10.026361,60,8.986146,-0.4918944,7.3340964,5.5129275,0.016666666666666666,0.03433259,0.08856797024810469,0.6666666666666666,0.8666666666666667,0.20000000000000007,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,4,0.1388888888888889,10.026361,60,8.66125,-1.6581837,8.502452,4.571008,0.0,0.0095525505,0.06384975698949293,0.7333333333333333,0.8,0.06666666666666676,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,5,0.1388888888888889,10.026361,60,8.0950575,-1.1611367,8.605158,4.4430027,0.0,0.011917086,0.08155100012943096,0.9333333333333333,1.0,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,6,0.1388888888888889,10.026361,60,9.365907,-0.5414808,7.704606,4.60128,0.0,0.041099392,0.0907881727183603,0.9333333333333333,0.9333333333333333,0.0,scale_5000_k60,retrograde_2000_k60,False,False,False
encoder,id_2000_k60,0,7,0.1388888888888889,10.026361,60,9.727266,-0.88262427,7.969674,4.4012465,0.0,0.028651329,0.04993215961814915,0.8666666666666667,0.9333333333333333,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,8,0.1388888888888889,10.026361,60,8.193248,-0.77756274,8.78936,5.3629756,0.0,0.009969357,0.06425469774217409,0.8666666666666667,1.0,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,9,0.1388888888888889,10.026361,60,7.7061257,-1.3093972,9.190223,4.7999935,0.016666666666666666,0.006795096,0.09192097512421461,0.8666666666666667,1.0,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,10,0.1388888888888889,10.026361,60,9.153741,-0.8242358,7.1187572,5.604832,0.0,0.02952497,0.08421200989006268,0.8,1.0,0.19999999999999996,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,0,11,0.1388888888888889,10.026361,60,9.713954,-0.4086806,6.9096403,5.4486537,0.016666666666666666,0.02892727,0.06700668089280407,0.8666666666666667,0.8666666666666667,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,0,0.1388888888888889,10.29644,60,8.505972,-1.9131613,9.17152,4.8606014,0.0,0.0063387076,0.04336370434553125,0.8666666666666667,1.0,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,1,0.1388888888888889,10.29644,60,9.951138,-0.09133648,7.185933,4.9705234,0.0,0.040203728,0.07373554660268127,0.9333333333333333,0.8,-0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,2,0.1388888888888889,10.29644,60,8.71736,-1.3110552,8.450844,5.6371207,0.03333333333333333,0.009877527,0.07099886311947122,0.9333333333333333,1.0,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,3,0.1388888888888889,10.29644,60,9.612073,-0.48085746,6.766484,5.2760553,0.0,0.041577138,0.04892653089432737,0.7333333333333333,0.8666666666666667,0.13333333333333341,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,4,0.1388888888888889,10.29644,60,7.7104964,-1.1571432,9.506896,5.613462,0.0,0.0065085846,0.05376511807850385,0.8666666666666667,0.9333333333333333,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,5,0.1388888888888889,10.29644,60,9.631473,-0.526468,7.247396,5.047724,0.0,0.025964836,0.05730818160919659,0.8666666666666667,0.8,-0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,6,0.1388888888888889,10.29644,60,8.60542,-1.1322637,8.697861,5.833234,0.016666666666666666,0.015355364,0.06835824507781864,0.9333333333333333,1.0,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,7,0.1388888888888889,10.29644,60,9.942199,-0.10132211,7.387233,4.772574,0.0,0.050164662,0.07589464689190176,0.8,0.8,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,8,0.1388888888888889,10.29644,60,8.449226,-1.2919141,8.855345,4.805455,0.016666666666666666,0.0067106048,0.06916291539746783,0.8666666666666667,0.8666666666666667,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,9,0.1388888888888889,10.29644,60,8.2486315,-0.44289353,8.262491,5.2986803,0.0,0.017117234,0.053966683159490624,0.8,0.6666666666666666,-0.13333333333333341,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,10,0.1388888888888889,10.29644,60,9.905884,-0.37827662,7.3096457,4.7268925,0.0,0.06079678,0.06774243237799661,0.8666666666666667,0.8666666666666667,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,1,11,0.1388888888888889,10.29644,60,9.990505,0.0049539236,6.0603185,5.048021,0.0,0.08404791,0.05964377646403893,0.8,0.8666666666666667,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,0,0.1388888888888889,10.369519,60,8.654568,-0.98798984,8.822042,5.3383107,0.0,0.010737268,0.08550414084359251,0.8666666666666667,0.9333333333333333,0.06666666666666665,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,1,0.1388888888888889,10.369519,60,10.085058,0.195695,6.9083424,4.731902,0.0,0.054608006,0.08637644380342754,0.9333333333333333,0.9333333333333333,0.0,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,2,0.1388888888888889,10.369519,60,9.636788,-1.137071,8.128347,4.64043,0.0,0.029481908,0.0651040913943893,0.8666666666666667,1.0,0.1333333333333333,scale_5000_k60,scale_5000_k60,False,False,False
encoder,id_2000_k60,2,3,0.1388888888888889,10.369519,60,9.237923,-0.52738005,7.2677016,5.474705,0.0,0.029958686,0.07927171831884319,0.8,0.8666666666666667,0.06666666666666665,scale_5000_k60,team9_2000_k60,False,False,False
encoder,id_2000_k60,2,4,0.1388888888888889,10.369519,60,8.857743,-1.3636713,8.5563965,4.482066,0.0,0.012260183,0.0921253090616073,0.8,0.9333333333333333,0.1333333333333333,team9_2000_k60,scale_5000_k60,False,False,False
