scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2
id_2000_k60,0,0,0.0,19.93536,60,-3.4980795,10.320969,13.258076,-0.29388803
id_2000_k60,0,1,0.0,19.93536,60,6.784112,-4.031187,15.902811,5.2407403
id_2000_k60,0,2,0.0,19.93536,60,10.042826,-2.1298523,15.437203,4.1023927
id_2000_k60,0,3,0.0,19.93536,60,9.2735615,-3.4160264,17.125105,4.604964
id_2000_k60,0,4,0.0,19.93536,60,10.315586,-6.3025837,15.535821,6.203222
id_2000_k60,0,5,0.0,19.93536,60,6.0667186,-2.2188056,15.787102,7.039883
id_2000_k60,0,6,0.0,19.93536,60,7.9890027,-6.8343735,16.568068,4.5131283
id_2000_k60,0,7,0.0,19.93536,60,9.626091,-2.4638343,16.480972,3.847148
id_2000_k60,0,8,0.0,19.93536,60,9.824164,-5.8334517,15.633282,6.0606604
id_2000_k60,0,9,0.0,19.93536,60,8.123126,-2.7705843,15.626173,4.995511
id_2000_k60,0,10,0.0,19.93536,60,11.145067,-1.9447223,15.425562,4.390834
id_2000_k60,0,11,0.0,19.93536,60,10.02326,-3.6946301,16.707802,4.236213
id_2000_k60,1,0,0.0,20.007746,60,-3.5097108,10.309952,13.2555,-0.29586992
id_2000_k60,1,1,0.0,20.007746,60,6.7894273,-4.0248194,15.90719,5.2586365
id_2000_k60,1,2,0.0,20.007746,60,10.041833,-2.1246035,15.460061,4.032698
id_2000_k60,1,3,0.0,20.007746,60,9.271475,-3.4184575,17.07818,4.59976
id_2000_k60,1,4,0.0,20.007746,60,10.304413,-6.29279,15.668134,6.004646
id_2000_k60,1,5,0.0,20.007746,60,6.079334,-2.2299461,15.788568,7.0387416
id_2000_k60,1,6,0.0,20.007746,60,7.988503,-6.833978,16.52054,4.4781213
id_2000_k60,1,7,0.0,20.007746,60,9.609255,-2.4439404,16.550213,3.954662
id_2000_k60,1,8,0.0,20.007746,60,9.813307,-5.8244185,15.674783,5.9900804
id_2000_k60,1,9,0.0,20.007746,60,8.14165,-2.748768,15.621376,5.0169044
id_2000_k60,1,10,0.0,20.007746,60,11.147842,-1.9490817,15.429123,4.402334
id_2000_k60,1,11,0.0,20.007746,60,10.020442,-3.7008867,17.149668,4.6297145
id_2000_k60,2,0,0.0,20.235445,60,-3.5035543,10.315582,13.258375,-0.29381272
id_2000_k60,2,1,0.0,20.235445,60,6.782794,-4.031697,15.933229,5.3549943
id_2000_k60,2,2,0.0,20.235445,60,10.018927,-2.1418927,15.427213,4.213101
id_2000_k60,2,3,0.0,20.235445,60,9.27849,-3.424082,17.124668,4.6375384
id_2000_k60,2,4,0.0,20.235445,60,10.340316,-6.3282356,15.541184,6.1972027
id_2000_k60,2,5,0.0,20.235445,60,6.070792,-2.2131996,15.783681,7.0163383
id_2000_k60,2,6,0.0,20.235445,60,7.9881806,-6.833501,16.546562,4.4643593
id_2000_k60,2,7,0.0,20.235445,60,9.590552,-2.4288087,16.666681,4.0983534
id_2000_k60,2,8,0.0,20.235445,60,9.837631,-5.8486886,15.611858,6.096378
id_2000_k60,2,9,0.0,20.235445,60,8.141863,-2.7595506,15.794248,4.9841914
id_2000_k60,2,10,0.0,20.235445,60,11.14867,-1.9424447,15.417675,4.3905993
id_2000_k60,2,11,0.0,20.235445,60,10.027125,-3.704417,17.140491,4.626911
id_2000_k60,3,0,0.0,20.144747,60,-3.509501,10.31113,13.258798,-0.292311
id_2000_k60,3,1,0.0,20.144747,60,6.784873,-4.029983,15.931671,5.18697
id_2000_k60,3,2,0.0,20.144747,60,10.021871,-2.1249294,15.486681,3.9717405
id_2000_k60,3,3,0.0,20.144747,60,9.280004,-3.4137723,16.74082,4.302301
id_2000_k60,3,4,0.0,20.144747,60,10.322502,-6.310931,15.632164,6.0612917
id_2000_k60,3,5,0.0,20.144747,60,6.079821,-2.2138145,15.773451,7.023826
id_2000_k60,3,6,0.0,20.144747,60,7.988285,-6.833875,16.510841,4.450546
id_2000_k60,3,7,0.0,20.144747,60,9.621204,-2.4555993,16.371273,3.7335272
id_2000_k60,3,8,0.0,20.144747,60,9.802792,-5.8137426,15.531935,6.2081304
id_2000_k60,3,9,0.0,20.144747,60,8.168766,-2.7092795,15.64006,5.002964
id_2000_k60,3,10,0.0,20.144747,60,11.148183,-1.9500989,15.448159,4.4444737
id_2000_k60,3,11,0.0,20.144747,60,10.023193,-3.700457,17.159857,4.6421514
id_2000_k60,0,0,0.1388888888888889,10.026361,60,8.768352,-0.97708756,8.610397,5.1554008
id_2000_k60,0,1,0.1388888888888889,10.026361,60,8.2104435,-0.48916847,8.353778,5.751142
id_2000_k60,0,2,0.1388888888888889,10.026361,60,9.192113,-1.5470963,8.315555,4.8414836
id_2000_k60,0,3,0.1388888888888889,10.026361,60,8.986146,-0.4918944,7.3340964,5.5129275
id_2000_k60,0,4,0.1388888888888889,10.026361,60,8.66125,-1.6581837,8.502452,4.571008
id_2000_k60,0,5,0.1388888888888889,10.026361,60,8.0950575,-1.1611367,8.605158,4.4430027
id_2000_k60,0,6,0.1388888888888889,10.026361,60,9.365907,-0.5414808,7.704606,4.60128
id_2000_k60,0,7,0.1388888888888889,10.026361,60,9.727266,-0.88262427,7.969674,4.4012465
id_2000_k60,0,8,0.1388888888888889,10.026361,60,8.193248,-0.77756274,8.78936,5.3629756
id_2000_k60,0,9,0.1388888888888889,10.026361,60,7.7061257,-1.3093972,9.190223,4.7999935
id_2000_k60,0,10,0.1388888888888889,10.026361,60,9.153741,-0.8242358,7.1187572,5.604832
id_2000_k60,0,11,0.1388888888888889,10.026361,60,9.713954,-0.4086806,6.9096403,5.4486537
id_2000_k60,1,0,0.1388888888888889,10.29644,60,8.505972,-1.9131613,9.17152,4.8606014
id_2000_k60,1,1,0.1388888888888889,10.29644,60,9.951138,-0.09133648,7.185933,4.9705234
id_2000_k60,1,2,0.1388888888888889,10.29644,60,8.71736,-1.3110552,8.450844,5.6371207
id_2000_k60,1,3,0.1388888888888889,10.29644,60,9.612073,-0.48085746,6.766484,5.2760553
id_2000_k60,1,4,0.1388888888888889,10.29644,60,7.7104964,-1.1571432,9.506896,5.613462
id_2000_k60,1,5,0.1388888888888889,10.29644,60,9.631473,-0.526468,7.247396,5.047724
id_2000_k60,1,6,0.1388888888888889,10.29644,60,8.60542,-1.1322637,8.697861,5.833234
id_2000_k60,1,7,0.1388888888888889,10.29644,60,9.942199,-0.10132211,7.387233,4.772574
id_2000_k60,1,8,0.1388888888888889,10.29644,60,8.449226,-1.2919141,8.855345,4.805455
id_2000_k60,1,9,0.1388888888888889,10.29644,60,8.2486315,-0.44289353,8.262491,5.2986803
id_2000_k60,1,10,0.1388888888888889,10.29644,60,9.905884,-0.37827662,7.3096457,4.7268925
id_2000_k60,1,11,0.1388888888888889,10.29644,60,9.990505,0.0049539236,6.0603185,5.048021
id_2000_k60,2,0,0.1388888888888889,10.369519,60,8.654568,-0.98798984,8.822042,5.3383107
id_2000_k60,2,1,0.1388888888888889,10.369519,60,10.085058,0.195695,6.9083424,4.731902
id_2000_k60,2,2,0.1388888888888889,10.369519,60,9.636788,-1.137071,8.128347,4.64043
id_2000_k60,2,3,0.1388888888888889,10.369519,60,9.237923,-0.52738005,7.2677016,5.474705
id_2000_k60,2,4,0.1388888888888889,10.369519,60,8.857743,-1.3636713,8.5563965,4.482066
id_2000_k60,2,5,0.1388888888888889,10.369519,60,9.506427,-0.7263871,7.436751,5.0099387
id_2000_k60,2,6,0.1388888888888889,10.369519,60,8.187024,-1.0284804,8.873519,5.4822764
id_2000_k60,2,7,0.1388888888888889,10.369519,60,9.455367,-0.06351005,7.276268,5.1283283
id_2000_k60,2,8,0.1388888888888889,10.369519,60,9.104911,-1.5441549,8.869708,4.7791996
id_2000_k60,2,9,0.1388888888888889,10.369519,60,9.12714,-1.0804496,8.219599,4.8085327
id_2000_k60,2,10,0.1388888888888889,10.369519,60,8.616157,-0.68704635,7.918596,5.8955827
id_2000_k60,2,11,0.1388888888888889,10.369519,60,9.416131,-1.1002284,8.571837,5.646778
id_2000_k60,3,0,0.1388888888888889,10.397433,60,8.570973,-1.7252074,9.189578,5.26301
id_2000_k60,3,1,0.1388888888888889,10.397433,60,9.956013,-0.47524393,7.438887,4.797873
id_2000_k60,3,2,0.1388888888888889,10.397433,60,9.3930435,-2.3725119,8.525484,4.470853
id_2000_k60,3,3,0.1388888888888889,10.397433,60,8.129133,-1.566705,9.107945,5.2413645
id_2000_k60,3,4,0.1388888888888889,10.397433,60,9.355567,-1.1674012,7.6804304,5.0290227
id_2000_k60,3,5,0.1388888888888889,10.397433,60,9.398241,-0.9124106,7.9848433,4.844151
id_2000_k60,3,6,0.1388888888888889,10.397433,60,9.687608,-0.8651783,7.985069,5.166372
id_2000_k60,3,7,0.1388888888888889,10.397433,60,8.9526,-0.7630659,8.066442,5.344704
id_2000_k60,3,8,0.1388888888888889,10.397433,60,9.073843,-0.5715926,7.894055,5.337077
id_2000_k60,3,9,0.1388888888888889,10.397433,60,9.858199,0.07657692,6.5021057,5.301561
id_2000_k60,3,10,0.1388888888888889,10.397433,60,8.961222,-1.0394219,8.057869,5.7388425
id_2000_k60,3,11,0.1388888888888889,10.397433,60,9.957944,-0.2034279,6.1952434,4.9562054
id_2000_k60,0,0,0.2777777777777778,4.3311825,60,9.852972,0.1988533,5.5914702,4.839264
id_2000_k60,0,1,0.2777777777777778,4.3311825,60,8.698946,-0.15765187,7.245586,5.2525654
id_2000_k60,0,2,0.2777777777777778,4.3311825,60,9.070479,0.6052233,3.8424234,7.281055
id_2000_k60,0,3,0.2777777777777778,4.3311825,60,9.579477,0.23505941,5.390698,5.286866
id_2000_k60,0,4,0.2777777777777778,4.3311825,60,9.56765,0.165327,4.264696,5.8501287
id_2000_k60,0,5,0.2777777777777778,4.3311825,60,10.06798,1.1913469,4.9994774,5.3045607
id_2000_k60,0,6,0.2777777777777778,4.3311825,60,10.109705,1.8620988,2.0867672,5.6504655
id_2000_k60,0,7,0.2777777777777778,4.3311825,60,8.86486,-0.4527931,7.919658,5.5026407
id_2000_k60,0,8,0.2777777777777778,4.3311825,60,9.913514,1.3102101,4.652716,5.013821
