condition,episode,normalized_uncertainty_auc,final_mean_uncertainty_km,final_p95_uncertainty_km,final_max_uncertainty_km,duplicate_assignment_rate,consecutive_reobservation_rate,catalogue_coverage_fraction,effective_catalogue_fraction,total_observations
correct,0,0.853717194737208,0.49336129426956177,1.098522466421127,2.1100094318389893,0.008564814814814838,0.6571094207138678,1.0,0.8729043562286088,8549
correct,1,0.7560621336567626,0.56028151512146,1.6641181826591478,2.5092132091522217,0.011111111111111103,0.6465877437325905,1.0,0.8441957261795465,8620
correct,2,0.9770190116822451,0.6100181341171265,1.5311593472957603,11.35018539428711,0.010879629629629625,0.686124298662063,1.0,0.882462462273249,9272
correct,3,0.7760707756245353,0.5219393968582153,1.2215587735176086,2.582554340362549,0.009861111111111119,0.642224294707391,1.0,0.8370803792875784,8582
correct,4,0.8464235273465863,0.6948500275611877,1.6087426602840411,12.899791717529297,0.009537037037037052,0.678381256656017,1.0,0.8576896518448442,8455
correct,5,0.8050079677876729,0.6100582480430603,1.585878860950469,2.1838667392730713,0.012499999999999973,0.6357167062012877,1.0,0.8561748301391093,8857
correct,6,0.9195546041041972,0.5431174039840698,1.3293722689151757,2.079573631286621,0.013379629629629599,0.6428811847862672,1.0,0.8641170709888754,8917
correct,7,0.8187975359655446,0.5332167744636536,1.3424429953098294,2.617811679840088,0.010694444444444442,0.6518039074673379,1.0,0.8522019800644666,8347
correct,8,1.072217277746587,0.5349741578102112,1.323451435565948,5.083110332489014,0.010925925925925922,0.6613053613053613,1.0,0.83689856641932,8584
correct,9,0.7681980774968574,0.5520683526992798,1.280471390485763,3.680161476135254,0.011851851851851832,0.647829083390765,1.0,0.8287413981830192,8710
correct,10,0.8274246734582817,0.5562583804130554,1.492122185230255,4.613632678985596,0.012453703703703677,0.6474779461660258,1.0,0.8746753168940316,8846
correct,11,0.9705852866013641,0.5881609320640564,1.461653596162795,12.087011337280273,0.012824074074074042,0.6665529398385079,1.0,0.858681579711326,8797
swapped,0,1.1075193616240235,0.7825930118560791,1.893823665380477,6.28699254989624,0.007500000000000014,0.7009921313718782,1.0,0.8627453475243265,8773
swapped,1,0.8220454803277301,0.9034338593482971,1.9640338182449315,16.209142684936523,0.010509259259259265,0.6720657276995305,1.0,0.802727834680574,8524
swapped,2,0.8836034536624204,0.7312980890274048,1.659662801027296,2.265470504760742,0.009953703703703711,0.6810419368785128,1.0,0.8733010735519458,9256
swapped,3,0.8076853018815422,0.6385229825973511,1.37078298330307,2.9231629371643066,0.010740740740740738,0.6558019713261649,1.0,0.8510038680607007,8932
swapped,4,0.8482338001554115,0.7003143429756165,1.415966939926147,3.164438486099243,0.00939814814814816,0.6783792686944109,1.0,0.8630738303785107,9111
swapped,5,0.8665896199250079,0.6997846364974976,1.5904604852199553,2.341085910797119,0.009583333333333346,0.6585127201565558,1.0,0.8458665957519902,9202
swapped,6,0.9096227537180983,0.6819868683815002,1.467222714424132,2.2862186431884766,0.00944444444444446,0.648216072024008,1.0,0.8588451618448182,9001
swapped,7,0.8250876192079453,0.6917231678962708,1.569540673494339,3.0978331565856934,0.01023148148148148,0.6479322481302243,1.0,0.8399674653043238,9096
swapped,8,0.8317519048742158,0.7229523062705994,1.5931050479412068,3.0677590370178223,0.01032407407407408,0.6555766439656134,1.0,0.8549315178104944,8961
swapped,9,0.8926340478013761,0.7902723550796509,1.847546601295469,7.804445266723633,0.012175925925925906,0.6558522023206038,1.0,0.8522177321380265,8881
swapped,10,0.8788790075506594,0.7460927367210388,1.602384179830551,4.374155521392822,0.00782407407407409,0.6662655873988187,1.0,0.8479564827625765,9146
swapped,11,0.9043224638262242,0.7690683603286743,1.6470254719257353,18.95431900024414,0.008842592592592617,0.6724772628843655,1.0,0.8671400959792351,9240
neutral,0,0.8128215652332653,0.605178713798523,1.443341153860092,3.5643649101257324,0.0100462962962963,0.6563190455148034,1.0,0.8633203906425471,9056
neutral,1,0.7766669685390144,0.648441731929779,1.5472140431404109,2.2357888221740723,0.011805555555555536,0.666198552446797,1.0,0.8414058479310842,9261
neutral,2,0.8805265568393261,0.5216612815856934,1.1790296971797936,2.2311322689056396,0.01129629629629629,0.6690059704619252,1.0,0.8615952144819601,9551
neutral,3,0.7613672972364995,0.5832526087760925,1.415399211645126,2.375462532043457,0.011064814814814807,0.6426412982652491,1.0,0.8579209906156645,8939
neutral,4,0.9159158160846073,0.6779115200042725,1.4043291211128226,16.45762062072754,0.009027777777777798,0.6823490885274534,1.0,0.8638931079585811,9165
neutral,5,0.7855891112947733,0.6700544357299805,1.5624910354614245,3.0222842693328857,0.010324074074074081,0.6435116130406989,1.0,0.8657256029323825,9390
neutral,6,0.8296569240756082,0.6956047415733337,1.6001077651977536,9.758500099182129,0.013425925925925885,0.6367406411118584,1.0,0.8671713410596636,8926
neutral,7,0.9181454013216731,0.5603287816047668,1.2982334613800048,3.186124324798584,0.009814814814814825,0.6695115103874228,1.0,0.8399627750753803,8909
neutral,8,0.8923760755009204,0.7019727826118469,1.7333993613719927,6.6623854637146,0.01300925925925923,0.6731887890005288,1.0,0.8677757239141268,9459
neutral,9,0.8491871089441421,0.6902363896369934,1.6487813830375668,12.758076667785645,0.007546296296296311,0.6750292335494844,1.0,0.8552170620570322,9411
neutral,10,0.8777660203689486,0.633796751499176,1.4993804395198822,3.902353048324585,0.012685185185185155,0.6586274939706205,1.0,0.864466876065198,9126
neutral,11,0.9180489791765598,0.5261872410774231,1.235031986236572,1.8296419382095337,0.009814814814814825,0.6655851178888168,1.0,0.8723011671809532,9250
